states,year,quarter,trans_type,trans_counts,amount
andhra-pradesh,2022,4,Merchant payments,321632104,211898851397.0984
andhra-pradesh,2022,4,Peer-to-peer payments,315734006,1170249585983.011
andhra-pradesh,2022,4,Recharge & bill payments,52098850,41986837706.47902
andhra-pradesh,2022,4,Financial Services,206459,250596592.0646504
andhra-pradesh,2022,4,Others,345658,339211363.0027188
arunachal-pradesh,2018,1,Recharge & bill payments,28729,5184132.514934338
arunachal-pradesh,2018,1,Peer-to-peer payments,13320,82889682.72418305
arunachal-pradesh,2018,1,Merchant payments,1042,2420374.1905855755
arunachal-pradesh,2018,1,Financial Services,416,58893.76201533088
arunachal-pradesh,2018,1,Others,1990,1834252.817690888
arunachal-pradesh,2018,2,Recharge & bill payments,50700,10468878.53710718
arunachal-pradesh,2018,2,Peer-to-peer payments,26477,181576281.1946475
arunachal-pradesh,2018,2,Merchant payments,2378,4718953.439561011
arunachal-pradesh,2018,2,Financial Services,559,363761.801595492
arunachal-pradesh,2018,2,Others,2043,1842317.369135248
arunachal-pradesh,2018,3,Recharge & bill payments,74122,15997565.906016491
arunachal-pradesh,2018,3,Peer-to-peer payments,49740,308106303.4534257
arunachal-pradesh,2018,3,Merchant payments,4738,5505694.567913429
arunachal-pradesh,2018,3,Financial Services,507,72133.845254878
arunachal-pradesh,2018,3,Others,2039,2044708.9687807967
arunachal-pradesh,2018,4,Recharge & bill payments,97751,20662691.88231327
arunachal-pradesh,2018,4,Peer-to-peer payments,68169,468831493.2328037
arunachal-pradesh,2018,4,Merchant payments,7726,11998974.1040326
arunachal-pradesh,2018,4,Financial Services,561,100597.90379906222
arunachal-pradesh,2018,4,Others,2222,2446271.9688117937
arunachal-pradesh,2019,1,Recharge & bill payments,121303,26796894.99823331
arunachal-pradesh,2019,1,Peer-to-peer payments,93494,568554821.4456317
arunachal-pradesh,2019,1,Merchant payments,9214,11727218.40133424
arunachal-pradesh,2019,1,Financial Services,256,140622.87093631705
arunachal-pradesh,2019,1,Others,2239,2730548.597814082
arunachal-pradesh,2019,2,Recharge & bill payments,131988,30420803.41271234
arunachal-pradesh,2019,2,Peer-to-peer payments,106527,704237943.4054435
arunachal-pradesh,2019,2,Merchant payments,16828,13955724.13071291
arunachal-pradesh,2019,2,Financial Services,267,160660.8821362781
arunachal-pradesh,2019,2,Others,3046,3880742.524023137
arunachal-pradesh,2019,3,Recharge & bill payments,216228,50946104.94289842
arunachal-pradesh,2019,3,Peer-to-peer payments,133484,841037395.2474606
arunachal-pradesh,2019,3,Merchant payments,16900,17178248.07427002
arunachal-pradesh,2019,3,Financial Services,864,64089.11350267195
arunachal-pradesh,2019,3,Others,2758,3419197.4177385764
arunachal-pradesh,2019,4,Recharge & bill payments,259183,63516906.09060433
arunachal-pradesh,2019,4,Peer-to-peer payments,177833,1100137447.934045
arunachal-pradesh,2019,4,Merchant payments,19769,23192271.69157681
arunachal-pradesh,2019,4,Financial Services,314,305379.7987782319
arunachal-pradesh,2019,4,Others,2376,3421174.01227797
arunachal-pradesh,2020,1,Recharge & bill payments,329834,86011654.77474582
arunachal-pradesh,2020,1,Peer-to-peer payments,203429,1263912288.406636
arunachal-pradesh,2020,1,Merchant payments,31181,28553052.13391879
arunachal-pradesh,2020,1,Financial Services,470,337812.948161694
arunachal-pradesh,2020,1,Others,2261,2943873.066683824
arunachal-pradesh,2020,2,Recharge & bill payments,522495,145198528.2296113
arunachal-pradesh,2020,2,Peer-to-peer payments,247861,1630654426.044183
arunachal-pradesh,2020,2,Merchant payments,35169,46446966.61244751
arunachal-pradesh,2020,2,Financial Services,1310,2655507.6964110374
arunachal-pradesh,2020,2,Others,1939,1761404.4023099935
arunachal-pradesh,2020,3,Recharge & bill payments,514907,153463816.2118439
arunachal-pradesh,2020,3,Peer-to-peer payments,370418,2361603431.37578
arunachal-pradesh,2020,3,Merchant payments,72736,88145178.69272713
arunachal-pradesh,2020,3,Financial Services,1761,4030599.9171272414
arunachal-pradesh,2020,3,Others,3005,2695539.3607389224
arunachal-pradesh,2020,4,Peer-to-peer payments,522019,3254744938.410562
arunachal-pradesh,2020,4,Recharge & bill payments,513895,152389181.2174306
arunachal-pradesh,2020,4,Merchant payments,167387,156682926.023846
arunachal-pradesh,2020,4,Financial Services,1749,2391651.8783250954
arunachal-pradesh,2020,4,Others,4079,4055324.315454754
arunachal-pradesh,2021,1,Peer-to-peer payments,566209,3460488558.9436502
arunachal-pradesh,2021,1,Recharge & bill payments,450649,142358376.9003836
arunachal-pradesh,2021,1,Merchant payments,155966,204958020.08914977
arunachal-pradesh,2021,1,Financial Services,1558,2672460.4740365944
